Date,TempAvgF,Year,Month
2015-03-26,62,2015,3
2015-03-27,64,2015,3
2015-03-28,66,2015,3
2015-03-29,71,2015,3
2015-03-30,72,2015,3
2015-03-31,74,2015,3
2015-04-01,76,2015,4
2015-04-02,76,2015,4
2015-04-03,76,2015,4
2015-04-04,63,2015,4
2015-04-05,64,2015,4
2015-04-06,75,2015,4
2015-04-07,78,2015,4
2015-04-08,74,2015,4
2015-04-09,79,2015,4
2015-04-10,65,2015,4
2015-04-11,65,2015,4
2015-04-12,75,2015,4
2015-04-13,76,2015,4
2015-04-14,67,2015,4
2015-04-15,69,2015,4
2015-04-16,74,2015,4
2015-04-17,71,2015,4
2015-04-18,66,2015,4
2015-04-19,73,2015,4
2015-04-20,64,2015,4
2015-04-21,66,2015,4
2015-04-22,74,2015,4
2015-04-23,77,2015,4
2015-04-24,77,2015,4
2015-04-25,82,2015,4
2015-04-26,78,2015,4
2015-04-27,74,2015,4
2015-04-28,59,2015,4
2015-04-29,63,2015,4
2015-04-30,67,2015,4
2015-05-01,70,2015,5
2015-05-02,71,2015,5
2015-05-03,71,2015,5
2015-05-04,75,2015,5
2015-05-05,75,2015,5
2015-05-06,79,2015,5
2015-05-07,78,2015,5
2015-05-08,76,2015,5
2015-05-09,79,2015,5
2015-05-10,82,2015,5
2015-05-11,74,2015,5
2015-05-12,67,2015,5
2015-05-13,67,2015,5
2015-05-14,78,2015,5
2015-05-15,72,2015,5
2015-05-16,77,2015,5
2015-05-17,75,2015,5
2015-05-18,81,2015,5
2015-05-19,82,2015,5
2015-05-20,81,2015,5
2015-05-21,69,2015,5
2015-05-22,70,2015,5
2015-05-23,77,2015,5
2015-05-24,73,2015,5
2015-05-25,74,2015,5
2015-05-26,78,2015,5
2015-05-27,76,2015,5
2015-05-28,78,2015,5
2015-05-29,77,2015,5
2015-05-30,79,2015,5
2015-05-31,77,2015,5
2015-06-01,76,2015,6
2015-06-02,79,2015,6
2015-06-03,78,2015,6
2015-06-04,78,2015,6
2015-06-05,80,2015,6
2015-06-06,80,2015,6
2015-06-07,81,2015,6
2015-06-08,82,2015,6
2015-06-09,84,2015,6
2015-06-10,83,2015,6
2015-06-11,84,2015,6
2015-06-12,84,2015,6
2015-06-13,85,2015,6
2015-06-14,79,2015,6
2015-06-15,82,2015,6
2015-06-16,78,2015,6
2015-06-17,81,2015,6
2015-06-18,82,2015,6
2015-06-19,78,2015,6
2015-06-20,78,2015,6
2015-06-21,79,2015,6
2015-06-22,81,2015,6
2015-06-23,84,2015,6
2015-06-24,83,2015,6
2015-06-25,83,2015,6
2015-06-26,85,2015,6
2015-06-27,83,2015,6
2015-06-28,82,2015,6
2015-06-29,84,2015,6
2015-06-30,84,2015,6
2015-07-01,81,2015,7
2015-07-02,81,2015,7
2015-07-03,84,2015,7
2015-07-04,84,2015,7
2015-07-05,84,2015,7
2015-07-06,84,2015,7
2015-07-07,85,2015,7
2015-07-08,85,2015,7
2015-07-09,85,2015,7
2015-07-10,84,2015,7
2015-07-11,83,2015,7
2015-07-12,84,2015,7
2015-07-13,86,2015,7
2015-07-14,86,2015,7
2015-07-15,85,2015,7
2015-07-16,85,2015,7
2015-07-17,86,2015,7
2015-07-18,88,2015,7
2015-07-19,87,2015,7
2015-07-20,86,2015,7
2015-07-21,86,2015,7
2015-07-22,87,2015,7
2015-07-23,88,2015,7
2015-07-24,88,2015,7
2015-07-25,87,2015,7
2015-07-26,87,2015,7
2015-07-27,89,2015,7
2015-07-28,89,2015,7
2015-07-29,89,2015,7
2015-07-30,88,2015,7
2015-07-31,90,2015,7
2015-08-01,86,2015,8
2015-08-02,88,2015,8
2015-08-03,87,2015,8
2015-08-04,89,2015,8
2015-08-05,90,2015,8
2015-08-06,90,2015,8
2015-08-07,89,2015,8
2015-08-08,90,2015,8
2015-08-09,89,2015,8
2015-08-10,90,2015,8
2015-08-11,90,2015,8
2015-08-12,92,2015,8
2015-08-13,91,2015,8
2015-08-14,90,2015,8
2015-08-15,89,2015,8
2015-08-16,87,2015,8
2015-08-17,86,2015,8
2015-08-18,88,2015,8
2015-08-19,89,2015,8
2015-08-20,79,2015,8
2015-08-21,82,2015,8
2015-08-22,87,2015,8
2015-08-23,89,2015,8
2015-08-24,89,2015,8
2015-08-25,89,2015,8
2015-08-26,86,2015,8
2015-08-27,86,2015,8
2015-08-28,85,2015,8
2015-08-29,83,2015,8
2015-08-30,86,2015,8
2015-08-31,86,2015,8
2015-09-01,84,2015,9
2015-09-02,83,2015,9
2015-09-03,84,2015,9
2015-09-04,88,2015,9
2015-09-05,90,2015,9
2015-09-06,88,2015,9
2015-09-07,88,2015,9
2015-09-08,88,2015,9
2015-09-09,84,2015,9
2015-09-10,84,2015,9
2015-09-11,84,2015,9
2015-09-12,80,2015,9
2015-09-13,77,2015,9
2015-09-14,77,2015,9
2015-09-15,84,2015,9
2015-09-16,84,2015,9
2015-09-17,86,2015,9
2015-09-18,86,2015,9
2015-09-19,85,2015,9
2015-09-20,82,2015,9
2015-09-21,84,2015,9
2015-09-22,84,2015,9
2015-09-23,81,2015,9
2015-09-24,82,2015,9
2015-09-25,84,2015,9
2015-09-26,82,2015,9
2015-09-27,81,2015,9
2015-09-28,79,2015,9
2015-09-29,81,2015,9
2015-09-30,83,2015,9
2015-10-01,82,2015,10
2015-10-02,78,2015,10
2015-10-03,72,2015,10
2015-10-04,73,2015,10
2015-10-05,76,2015,10
2015-10-06,77,2015,10
2015-10-07,77,2015,10
2015-10-08,80,2015,10
2015-10-09,80,2015,10
2015-10-10,79,2015,10
2015-10-11,80,2015,10
2015-10-12,86,2015,10
2015-10-13,79,2015,10
2015-10-14,78,2015,10
2015-10-15,79,2015,10
2015-10-16,76,2015,10
2015-10-17,75,2015,10
2015-10-18,71,2015,10
2015-10-19,70,2015,10
2015-10-20,73,2015,10
2015-10-21,79,2015,10
2015-10-22,76,2015,10
2015-10-23,76,2015,10
2015-10-24,68,2015,10
2015-10-25,61,2015,10
2015-10-26,69,2015,10
2015-10-27,71,2015,10
2015-10-28,70,2015,10
2015-10-29,66,2015,10
2015-10-30,71,2015,10
2015-10-31,71,2015,10
2015-11-01,67,2015,11
2015-11-02,68,2015,11
2015-11-03,69,2015,11
2015-11-04,70,2015,11
2015-11-05,79,2015,11
2015-11-06,68,2015,11
2015-11-07,60,2015,11
2015-11-08,62,2015,11
2015-11-09,63,2015,11
2015-11-10,67,2015,11
2015-11-11,77,2015,11
2015-11-12,64,2015,11
2015-11-13,61,2015,11
2015-11-14,60,2015,11
2015-11-15,62,2015,11
2015-11-16,70,2015,11
2015-11-17,61,2015,11
2015-11-18,58,2015,11
2015-11-19,63,2015,11
2015-11-20,65,2015,11
2015-11-21,54,2015,11
2015-11-22,47,2015,11
2015-11-23,48,2015,11
2015-11-24,56,2015,11
2015-11-25,68,2015,11
2015-11-26,71,2015,11
2015-11-27,58,2015,11
2015-11-28,42,2015,11
2015-11-29,45,2015,11
2015-11-30,50,2015,11
2015-12-01,53,2015,12
2015-12-02,55,2015,12
2015-12-03,52,2015,12
2015-12-04,50,2015,12
2015-12-05,51,2015,12
2015-12-06,57,2015,12
2015-12-07,57,2015,12
2015-12-08,59,2015,12
2015-12-09,62,2015,12
2015-12-10,65,2015,12
2015-12-11,66,2015,12
2015-12-12,73,2015,12
2015-12-13,60,2015,12
2015-12-14,59,2015,12
2015-12-15,64,2015,12
2015-12-16,55,2015,12
2015-12-17,54,2015,12
2015-12-18,46,2015,12
2015-12-19,51,2015,12
2015-12-20,59,2015,12
2015-12-21,65,2015,12
2015-12-22,64,2015,12
2015-12-23,67,2015,12
2015-12-24,63,2015,12
2015-12-25,61,2015,12
2015-12-26,74,2015,12
2015-12-27,55,2015,12
2015-12-28,41,2015,12
2015-12-29,43,2015,12
2015-12-30,49,2015,12
2015-12-31,46,2015,12
2016-01-01,46,2016,1
2016-01-02,45,2016,1
2016-01-03,52,2016,1
2016-01-04,48,2016,1
2016-01-05,46,2016,1
2016-01-06,50,2016,1
2016-01-07,61,2016,1
2016-01-08,55,2016,1
2016-01-09,48,2016,1
2016-01-10,42,2016,1
2016-01-11,45,2016,1
2016-01-12,50,2016,1
2016-01-13,52,2016,1
2016-01-14,59,2016,1
2016-01-15,59,2016,1
2016-01-16,54,2016,1
2016-01-17,45,2016,1
2016-01-18,48,2016,1
2016-01-19,56,2016,1
2016-01-20,51,2016,1
2016-01-21,54,2016,1
2016-01-22,46,2016,1
2016-01-23,44,2016,1
2016-01-24,53,2016,1
2016-01-25,66,2016,1
2016-01-26,51,2016,1
2016-01-27,48,2016,1
2016-01-28,52,2016,1
2016-01-29,57,2016,1
2016-01-30,62,2016,1
2016-01-31,72,2016,1
2016-02-01,66,2016,2
2016-02-02,62,2016,2
2016-02-03,49,2016,2
2016-02-04,47,2016,2
2016-02-05,48,2016,2
2016-02-06,51,2016,2
2016-02-07,50,2016,2
2016-02-08,56,2016,2
2016-02-09,57,2016,2
2016-02-10,56,2016,2
2016-02-11,68,2016,2
2016-02-12,63,2016,2
2016-02-13,64,2016,2
2016-02-14,66,2016,2
2016-02-15,62,2016,2
2016-02-16,63,2016,2
2016-02-17,63,2016,2
2016-02-18,67,2016,2
2016-02-19,73,2016,2
2016-02-20,71,2016,2
2016-02-21,68,2016,2
2016-02-22,65,2016,2
2016-02-23,54,2016,2
2016-02-24,54,2016,2
2016-02-25,54,2016,2
2016-02-26,53,2016,2
2016-02-27,58,2016,2
2016-02-28,67,2016,2
2016-02-29,70,2016,2
2016-03-01,70,2016,3
2016-03-02,64,2016,3
2016-03-03,73,2016,3
2016-03-04,61,2016,3
2016-03-05,68,2016,3
2016-03-06,68,2016,3
2016-03-07,70,2016,3
2016-03-08,76,2016,3
2016-03-09,65,2016,3
2016-03-10,61,2016,3
2016-03-11,65,2016,3
2016-03-12,66,2016,3
2016-03-13,71,2016,3
2016-03-14,73,2016,3
2016-03-15,80,2016,3
2016-03-16,71,2016,3
2016-03-17,73,2016,3
2016-03-18,68,2016,3
2016-03-19,55,2016,3
2016-03-20,53,2016,3
2016-03-21,52,2016,3
2016-03-22,62,2016,3
2016-03-23,74,2016,3
2016-03-24,59,2016,3
2016-03-25,57,2016,3
2016-03-26,61,2016,3
2016-03-27,65,2016,3
2016-03-28,62,2016,3
2016-03-29,64,2016,3
2016-03-30,73,2016,3
2016-03-31,76,2016,3
2016-04-01,59,2016,4
2016-04-02,60,2016,4
2016-04-03,62,2016,4
2016-04-04,68,2016,4
2016-04-05,68,2016,4
2016-04-06,69,2016,4
2016-04-07,67,2016,4
2016-04-08,68,2016,4
2016-04-09,68,2016,4
2016-04-10,72,2016,4
2016-04-11,80,2016,4
2016-04-12,68,2016,4
2016-04-13,65,2016,4
2016-04-14,66,2016,4
2016-04-15,67,2016,4
2016-04-16,70,2016,4
2016-04-17,71,2016,4
2016-04-18,69,2016,4
2016-04-19,72,2016,4
2016-04-20,71,2016,4
2016-04-21,72,2016,4
2016-04-22,72,2016,4
2016-04-23,69,2016,4
2016-04-24,71,2016,4
2016-04-25,79,2016,4
2016-04-26,79,2016,4
2016-04-27,76,2016,4
2016-04-28,75,2016,4
2016-04-29,80,2016,4
2016-04-30,76,2016,4
2016-05-01,72,2016,5
2016-05-02,64,2016,5
2016-05-03,67,2016,5
2016-05-04,71,2016,5
2016-05-05,74,2016,5
2016-05-06,71,2016,5
2016-05-07,73,2016,5
2016-05-08,70,2016,5
2016-05-09,77,2016,5
2016-05-10,79,2016,5
2016-05-11,76,2016,5
2016-05-12,76,2016,5
2016-05-13,79,2016,5
2016-05-14,72,2016,5
2016-05-15,67,2016,5
2016-05-16,74,2016,5
2016-05-17,74,2016,5
2016-05-18,71,2016,5
2016-05-19,69,2016,5
2016-05-20,73,2016,5
2016-05-21,77,2016,5
2016-05-22,80,2016,5
2016-05-23,78,2016,5
2016-05-24,81,2016,5
2016-05-25,82,2016,5
2016-05-26,79,2016,5
2016-05-27,71,2016,5
2016-05-28,78,2016,5
2016-05-29,79,2016,5
2016-05-30,78,2016,5
2016-05-31,75,2016,5
2016-06-01,78,2016,6
2016-06-02,76,2016,6
2016-06-03,75,2016,6
2016-06-04,77,2016,6
2016-06-05,78,2016,6
2016-06-06,80,2016,6
2016-06-07,81,2016,6
2016-06-08,81,2016,6
2016-06-09,82,2016,6
2016-06-10,80,2016,6
2016-06-11,85,2016,6
2016-06-12,86,2016,6
2016-06-13,85,2016,6
2016-06-14,86,2016,6
2016-06-15,87,2016,6
2016-06-16,86,2016,6
2016-06-17,87,2016,6
2016-06-18,86,2016,6
2016-06-19,86,2016,6
2016-06-20,85,2016,6
2016-06-21,86,2016,6
2016-06-22,86,2016,6
2016-06-23,85,2016,6
2016-06-24,84,2016,6
2016-06-25,83,2016,6
2016-06-26,86,2016,6
2016-06-27,86,2016,6
2016-06-28,87,2016,6
2016-06-29,84,2016,6
2016-06-30,85,2016,6
2016-07-01,85,2016,7
2016-07-02,87,2016,7
2016-07-03,88,2016,7
2016-07-04,90,2016,7
2016-07-05,89,2016,7
2016-07-06,90,2016,7
2016-07-07,89,2016,7
2016-07-08,90,2016,7
2016-07-09,89,2016,7
2016-07-10,87,2016,7
2016-07-11,90,2016,7
2016-07-12,89,2016,7
2016-07-13,91,2016,7
2016-07-14,89,2016,7
2016-07-15,90,2016,7
2016-07-16,88,2016,7
2016-07-17,88,2016,7
2016-07-18,89,2016,7
2016-07-19,89,2016,7
2016-07-20,89,2016,7
2016-07-21,89,2016,7
2016-07-22,89,2016,7
2016-07-23,90,2016,7
2016-07-24,90,2016,7
2016-07-25,89,2016,7
2016-07-26,84,2016,7
2016-07-27,83,2016,7
2016-07-28,86,2016,7
2016-07-29,85,2016,7
2016-07-30,87,2016,7
2016-07-31,88,2016,7
2016-08-01,87,2016,8
2016-08-02,87,2016,8
2016-08-03,88,2016,8
2016-08-04,88,2016,8
2016-08-05,89,2016,8
2016-08-06,89,2016,8
2016-08-07,89,2016,8
2016-08-08,89,2016,8
2016-08-09,91,2016,8
2016-08-10,92,2016,8
2016-08-11,90,2016,8
2016-08-12,92,2016,8
2016-08-13,87,2016,8
2016-08-14,78,2016,8
2016-08-15,74,2016,8
2016-08-16,77,2016,8
2016-08-17,80,2016,8
2016-08-18,81,2016,8
2016-08-19,84,2016,8
2016-08-20,78,2016,8
2016-08-21,78,2016,8
2016-08-22,83,2016,8
2016-08-23,86,2016,8
2016-08-24,85,2016,8
2016-08-25,84,2016,8
2016-08-26,84,2016,8
2016-08-27,82,2016,8
2016-08-28,83,2016,8
2016-08-29,82,2016,8
2016-08-30,83,2016,8
2016-08-31,84,2016,8
2016-09-01,86,2016,9
2016-09-02,84,2016,9
2016-09-03,83,2016,9
2016-09-04,84,2016,9
2016-09-05,84,2016,9
2016-09-06,86,2016,9
2016-09-07,87,2016,9
2016-09-08,86,2016,9
2016-09-09,86,2016,9
2016-09-10,82,2016,9
